domaine,indicateur_code,indicateur_label,cible_valeur,cible_unite,cible_source,condition_gap,severite_gap,hypotheses_possibles,recommandations,acteur_a_alerter,note_methodologique
RÉPONSE — SURVEILLANCE,alerts_investigation_rate,Taux d'investigation des alertes,90,% sous 24h,"OMS GOARN 2019 ; norme Ebola",< 90%,CRITIQUE,"Surcharge des équipes d'investigation terrain | Délais de transport vers zones enclavées | Alertes mal référencées ou signalées hors circuit officiel | Manque de matériel EPI disponible sur le terrain","Déployer équipes supplémentaires dans zones à faible taux | Revoir le circuit de référencement des alertes | Audit des alertes non investiguées (cause délai) | Renforcer disponibilité EPI","Coordinateur Surveillance | Coordinateur Réponse rapide","Taux calculé sur alertes du SitRep en cours. Seuil OMS 90% sous 24h (non modifiable sans validation panel). Hypothèses à investiguer — pas de causalité établie."
RÉPONSE — SURVEILLANCE,alerts_validated,Alertes validées (nb absolu),NA,nb,"Suivi tendance inter-SitRep",Baisse ≥ 20% vs SitRep précédent,ATTENTION,"Amélioration réelle de la transmission | Sous-déclaration communautaire (lassitude alerte) | Problème de collecte ou circuit de remontée | Rupture de capacité d'investigation","Croiser avec nouvelles zones affectées | Enquête communautaire sur perception de l'alerte | Vérifier intégrité du circuit de notification","Coordinateur Surveillance | INRB","Variation inter-SitRep. Interpréter avec le contexte terrain — une baisse peut être favorable ou indiquer un gap de détection."
RÉPONSE — SURVEILLANCE,alerts_reported,Alertes signalées (nb absolu),NA,nb,"Suivi tendance inter-SitRep",Baisse ≥ 20% vs SitRep précédent ou hausse ≥ 30%,ATTENTION,"Hausse : amplification transmission | Baisse : fatigue communautaire ou rupture circuit | Variation saisonnière mobilité","Analyser distribution spatiale des alertes | Comparer avec nouveaux cas confirmés | Vérifier opérationnalité des points de signalement","Coordinateur Surveillance | Coordinateur Communication","Indicateur de tendance. Seuils de variation à valider par panel experts."
RÉPONSE — CONTACTS,contacts_listed,Contacts listés (nb absolu),≥ 80% des cas confirmés × 10,nb estimé,"OMS Ebola Contact Tracing Guide 2020",contacts_listed < (new_confirmed_cases × 10 × 0.8),CRITIQUE,"Difficultés d'accès aux zones de transmission | Refus communautaire de déclaration des contacts | Sous-déclaration des cas sources | Surcharge des équipes de traçage | Transmission en milieu de soin (contacts difficilement traçables)","Renforcer équipes de traçage dans zones à faible ratio | Engagement communautaire (chefs locaux) | Audit des cas sans contacts listés | Vérifier si décès communautaires non comptabilisés","Coordinateur Contact Tracing | Coordinateur Communautaire","Cible estimée : 10 contacts/cas (moyenne Ebola). Ratio à adapter si transmission en milieu fermé. Hypothèses à investiguer — pas de causalité établie."
RÉPONSE — LABORATOIRE,lab_positivity_rate,Taux de positivité laboratoire,5-15,%,"OMS GOARN ; plage cible Ebola (≥5% = transmission active, ≥15% = détection insuffisante)",> 15%,CRITIQUE,"Détection insuffisante (trop peu de tests / biais de sélection) | Amplification de la transmission | Tests concentrés sur cas probables sans élargissement","Élargir les critères de dépistage | Augmenter capacité analytique | Déployer tests rapides en zones enclavées","Coordinateur Laboratoire | INRB","Plage cible 5-15% selon OMS. Au-dessus de 15% = signal de détection insuffisante probable."
RÉPONSE — LABORATOIRE,lab_positivity_rate,Taux de positivité laboratoire,5-15,%,"OMS GOARN",< 5%,ATTENTION,"Amélioration réelle de la situation | Sur-dépistage (tests larges sur population générale) | Artefact de composition des prélèvements (majoritairement contacts à faible risque)","Vérifier composition des échantillons (cas suspects vs contacts vs criblage) | Maintenir vigilance — peut masquer faux sentiment de contrôle","Coordinateur Laboratoire | INRB","Un taux très bas peut être favorable ou indiquer un biais de sélection. À interpréter avec samples_analyzed."
RÉPONSE — LABORATOIRE,samples_analyzed,Échantillons analysés (délai),NA,nb / tendance,"Suivi tendance",Baisse ≥ 20% vs SitRep précédent,ATTENTION,"Panne ou saturation équipement laboratoire | Rupture de réactifs | Problème de transport des échantillons (chaîne du froid) | Réduction des prélèvements (amélioration ou sous-dépistage)","Vérifier disponibilité réactifs et équipements | Contrôler chaîne de transport | Croiser avec samples_collected et samples_received","Coordinateur Laboratoire | INRB Kinshasa","Indicateur de capacité opérationnelle. Baisse = signal de rupture potentielle."
RÉPONSE — ISOLEMENT,patients_in_isolation,Patients en isolement (nb),≥ 100% des cas actifs estimés,nb,"Norme de contrôle Ebola OMS : tout cas confirmé/probable doit être isolé",patients_in_isolation < (new_confirmed_cases × 0.9),CRITIQUE,"Refus d'isolement par les patients ou familles | Saturation des CTE (lits insuffisants) | Décès avant prise en charge | Cas identifiés mais non encore transférés | Problème de transport vers CTE","Enquête sur les cas non isolés (cause) | Vérifier disponibilité lits CTE | Renforcer sensibilisation communautaire sur isolement | Activer protocoles transfert d'urgence","Coordinateur PEC | Coordinateur CTE | Coordinateur Communautaire","Seuil : 90% des nouveaux cas confirmés doivent être en isolement dans les 24-48h. Indicateur lits CTE à venir (script 15 en attente). Hypothèses à investiguer."
CLINIQUE — LÉTALITÉ,case_fatality_ratio,Taux de létalité (CFR) — PROVISOIRE,30-50,%,"Plage historique Ebola Bundibugyo (CDC/OMS) : Bundibugyo 2007 CFR ~34% ; plage large selon réponse",> 50%,CRITIQUE,"Prise en charge tardive (isolement retardé) | Qualité des soins de support insuffisante (réhydratation, etc.) | Biais de sélection (seuls les cas graves diagnostiqués) | Souche plus virulente (hypothèse à surveiller) | Surcharge CTE","Audit des cas décédés (délai symptômes→isolement) | Évaluation qualité soins de support CTE | Vérifier si décès majoritairement hors CTE | Signaler à INRB pour analyse virologique si persistant","Coordinateur PEC | INRB | Dr Merawi Aragaw (Africa CDC)","CFR TOUJOURS PROVISOIRE. Bundibugyo historique : ~34%. Seuil >50% = signal d'alerte. Pas de causalité établie — hypothèses à investiguer. Co-signature INSP/INRB avant publication."
CLINIQUE — LÉTALITÉ,case_fatality_ratio,Taux de létalité (CFR) — PROVISOIRE,30-50,%,"Plage historique Ebola Bundibugyo",30-50%,NORMAL,"CFR dans la plage historique Bundibugyo","Maintenir qualité des soins | Continuer suivi","Coordinateur PEC","CFR TOUJOURS PROVISOIRE. Dans la plage normale pour Bundibugyo."
